Unnamed: 0,composition,energy,material_id,prototype_id,location,elements,spg,nsites,stress,total_energy,total_mag,band_gap_ind,band_gap,dos_ef,energy_corrected,e_above_hull,e_form,e_phase_separation,decomposition,volume,lattice_params,lattice_matrix,source,Conditions,ultimate_tensile_strength_mpa,UTS (Ksi),yield_strength_mpa,YS (ksi),elongation_percent,Reduction (%),Hardness (HB),C (Min),carbon,Mn (Min),manganese,P (Min),P (Max),S (Min),S(Max),Si (Min),silicon,Ni (Min),nickel,Cr (Min),chromium,Mo (Min),molybdenum,Ti (Min),Ti (Max),N
700245.0,"{'Ac': 12.0, 'Al': 1.0, 'Ge': 6.0}",-89.64034302,Ac12AlGe6,AB6C12_0_spg204,cgat_comp_2/ternaries/AB6C12/runs/batch-001/Al/AlGe6Ac12/xxx_02a-00_agm006127188_spg204,"Ac,Al,Ge",204.0,19.0,"[0.80906737, 0.0, 3e-08, 0.0, 0.8090675, 5e-08, 3e-08, 5e-08, 0.8090675]",-89.64034302,-5e-07,0.0,0.0,11.492753,-89.64034,0.08671155,-0.46802008,0.08671155, Ac2Al3  Ac4Ge3  Ac ,673.1251600816441,"[9.562524149830258, 9.562524742103975, 9.56252497, 109.47121899887657, 109.4712202535408, 109.47121973081781]","[9.01563425, 0.0, -3.18750799, -4.50781712, 7.80776902, -3.18750799, -0.0, -0.0, 9.56252497]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700246.0,"{'Ac': 12.0, 'Al': 1.0, 'Ge': 7.0}",-93.03220866,Ac12AlGe7,AB7C12_6_spg148,cgat_comp/ternaries/AB7C12/runs/batch-000/Al/AlGe7Ac12/xxx_02p-00_agm003701648_spg148,"Ac,Al,Ge",148.0,20.0,"[0.7718131, 0.0177323, 0.02661533, 0.01773222, 0.7820792, 0.03541262, 0.02661538, 0.03541258, 0.81163865]",-93.03220866,7.58e-05,0.0,0.0,20.986149,-93.03221,0.22647083,-0.38334432,0.22647083, Ac2Al3  Ac4Ge3  Ac ,727.0273683425086,"[9.901552353340076, 9.901552353748611, 9.901552353289183, 110.17965705042513, 110.17965711025815, 110.17965713176481]","[9.87898403, -0.37045479, -0.55603668, -3.10280559, 9.38638161, -0.55603665, -3.10280555, -4.12838418, 8.44806373]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700247.0,"{'Ac': 12.0, 'Al': 1.0, 'Hg': 6.0}",-56.58319632,Ac12AlHg6,AB6C12_37_spg148,cgat_comp/ternaries/AB6C12/runs/batch-000/Al/AlHg6Ac12/xxx_02p-00_agm003693491_spg148,"Ac,Al,Hg",148.0,19.0,"[1.3195604, 0.00175863, 0.00210685, 0.00175869, 1.3200998, 0.00245458, 0.0021068, 0.00245462, 1.3209915]",-56.58319632,0.0021284,0.0,0.0,28.291155,-56.583195,0.2407701,-0.09098014,0.2407701, Ac2Al3  Ac  AcHg ,806.6031454482945,"[9.515633779603474, 9.515633778921671, 9.515633780706128, 101.0213706293607, 101.0213706648676, 101.02137062063753]","[9.5107915, -0.19450959, -0.23301779, -1.63412936, 9.37137184, -0.23301778, -1.63412935, -1.90387498, 9.17889795]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700248.0,"{'Ac': 12.0, 'Al': 1.0, 'In': 6.0}",-71.20454375,Ac12AlIn6,AB6C12_39_spg148,cgat_comp/ternaries/AB6C12/runs/batch-000/Al/AlIn6Ac12/xxx_02p-00_agm003693113_spg148,"Ac,Al,In",148.0,19.0,"[1.1201357, 0.00834751, 0.01000008, 0.00834747, 1.1226963, 0.01165082, 0.01000011, 0.01165079, 1.1269282]",-71.20454375,-0.0004034,0.0,0.0,22.031633,-71.204544,0.22234997,-0.091058746,0.22234997, Ac5Al2In  Ac5In3  Ac ,761.390934991961,"[9.755986787291839, 9.755986787714841, 9.755986787653079, 107.55130146464259, 107.55130142817374, 107.55130145838194]","[9.6728977, -0.81420467, -0.97539686, -2.2712369, 9.43765655, -0.97539735, -2.27123747, -2.64614991, 9.11145703]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700249.0,"{'Ac': 12.0, 'Al': 1.0, 'Ni': 6.0}",-91.61429628,Ac12AlNi6,AB6C12_0_spg204,cgat_comp_2/ternaries/AB6C12/runs/batch-001/Al/AlNi6Ac12/xxx_02a-00_agm006129838_spg204,"Ac,Al,Ni",204.0,19.0,"[-1.6121991, -1e-07, 0.0, -1e-07, -1.6121988, 0.0, 0.0, 0.0, -1.6121988]",-91.61429628,-1e-07,0.0,0.0,15.028795,-91.614296,0.014857756,-0.20434374,0.014857756, Ac7Ni3  AcAlNi2  Ac ,604.3564358102931,"[9.225113186664064, 9.225112376859936, 9.22511243, 109.47122077313786, 109.4712189949161, 109.47122109381306]","[8.69752021, -1e-08, -3.07503748, -4.34875962, 7.53227274, -3.07503748, 0.0, 0.0, 9.22511243]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700250.0,"{'Ac': 12.0, 'Al': 1.0, 'Pb': 6.0}",-79.54383001,Ac12AlPb6,AB6C12_37_spg148,cgat_comp/ternaries/AB6C12/runs/batch-000/Al/AlPb6Ac12/xxx_02p-00_agm003693398_spg148,"Ac,Al,Pb",148.0,19.0,"[1.3835799, 0.01407571, 0.01686234, 0.01407569, 1.3878976, 0.01964582, 0.01686235, 0.0196458, 1.3950336]",-79.54383001,0.0003375,0.0,0.0,19.498405,-79.54383,0.21962775,-0.223685,0.21962775, Ac5Pb3  Ac2Al3  Ac ,850.0406011348316,"[9.6436487075188, 9.643648705050778, 9.643648707556755, 100.03545777491571, 100.03545771299709, 100.03545767991932]","[9.6420701, -0.11181306, -0.13394932, -1.57229093, 9.51367012, -0.13394934, -1.57229095, -1.8318289, 9.33660883]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700251.0,"{'Ac': 12.0, 'Al': 1.0, 'Pb': 7.0}",-85.16563438,Ac12AlPb7,AB7C12_21_spg148,cgat_comp/ternaries/AB7C12/runs/batch-000/Al/AlPb7Ac12/xxx_02p-00_agm003703630_spg148,"Ac,Al,Pb",148.0,20.0,"[1.7476634, -0.00136593, -0.00204998, -0.00136572, 1.7468727, -0.0027277, -0.00205011, -0.0027276, 1.7445958]",-85.16563438,-0.0123405,0.0,0.0,24.085918,-85.165634,0.17812133,-0.30817416,0.17812133, Ac5Pb3  Ac4Pb3  Ac2Al3 ,782.6578098299734,"[9.984330828523152, 9.984330828068385, 9.984330829437598, 108.87447188157493, 108.87447188560364, 108.87447192666369]","[9.97436066, -0.24733405, -0.37123764, -3.01106072, 9.51223202, -0.37123769, -3.01106079, -4.00631467, 8.63538174]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700252.0,"{'Ac': 12.0, 'Al': 1.0, 'Pd': 6.0}",-94.05012041,Ac12AlPd6,AB6C12_0_spg204,cgat_comp_2/ternaries/AB6C12/runs/batch-001/Al/AlPd6Ac12/xxx_02a-00_agm006131018_spg204,"Ac,Al,Pd",204.0,19.0,"[1.0522509, 7e-08, 0.0, 7e-08, 1.052251, 0.0, 0.0, 0.0, 1.0522509]",-94.05012041,-1.3e-06,0.0,0.0,15.530642,-94.05012,0.041965418,-0.5183855,0.041965418, Ac7Pd3  AcAlPd  AcPd ,649.1482565974815,"[9.44760919688046, 9.447609261287138, 9.44760931, 109.47122071749699, 109.47122085559474, 109.4712171823533]","[8.90729136, 0.0, -3.1492031, -4.45364517, 7.71394097, -3.1492031, 0.0, 0.0, 9.44760931]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700253.0,"{'Ac': 12.0, 'Al': 1.0, 'Si': 5.0}",-86.42244443,Ac12AlSi5,AB5C12_7_spg71,cgat_comp_2/ternaries/AB5C12/runs/batch-001/Al/AlSi5Ac12/xxx_02a-00_agm006079618_spg71,"Ac,Al,Si",71.0,18.0,"[0.27564314, -0.01580492, -0.02518353, -0.01580492, 0.30979142, 0.02293243, -0.02518353, 0.02293243, 0.2948274]",-86.42244443,2.9e-05,0.0,0.0,14.70676,-86.42245,0.019232273,-0.34797576,0.019232273, Ac5Si3  Ac2AlSi  Ac ,621.8612542147266,"[9.317396265045257, 9.317396199047712, 9.317396675103891, 107.19173536190615, 111.25524770318977, 109.99306779157529]","[8.6953883, 0.03424571, -3.34707674, -4.49912731, 7.68475665, -2.7415763, -0.03280489, -0.03424568, 9.31727599]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
700254.0,"{'Ac': 12.0, 'Al': 1.0, 'Si': 6.0}",-93.11985734,Ac12AlSi6,AB6C12_0_spg204,cgat_comp_2/ternaries/AB6C12/runs/batch-001/Al/AlSi6Ac12/xxx_02a-00_agm006127752_spg204,"Ac,Al,Si",204.0,19.0,"[0.31044364, -2e-08, -1e-08, -2e-08, 0.31044364, -2e-08, -1e-08, -2e-08, 0.31044364]",-93.11985734,-1.3e-05,0.0,0.0,8.607164,-93.11986,0.01247092,-0.39673474,0.01247092, Ac5Si3  Ac2AlSi  Ac ,656.2379837456642,"[9.481879164922594, 9.481879577022909, 9.48187928, 109.47122201991009, 109.47122295265356, 109.47122039681904]","[8.93960128, 0.0, -3.16062675, -4.46980113, 7.74192203, -3.16062675, 0.0, 1e-08, 9.48187928]",Alexandria,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
